o:resource_template,o:resource_class,dcterms:title,edm:hasView,edm:isShownBy,bibo:pageStart,content,dcterms:identifier,dcterms:isPartOf,first_hpos,first_vpos,first_width,first_height,last_hpos,last_vpos,last_width,last_height,cv,IIIF_id,language,status,pid
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0003,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0003.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=2&xywh=-1391%2C0%2C10494%2C4670,3,"daps 164 rt: te reflecteren nopende de onleintenisse daer by y
duys 169 rogende petg lits van 106 van regliegue
181 nopende den 120 van vjluque
196 nopende het 2 het van 130 Jan replique
209 218 nogende den 138 tot 144 pcolus van te lirqu",,75864,,,,,3497,1020,1521,182,2,https://museumstichting.resourcespace.com/iiif/image/49508,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_m15dx
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0004,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0004.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=3&xywh=-1391%2C0%2C10494%2C4670,4,1.081944444,,75864,,,,,3423,4172,442,283,3,https://museumstichting.resourcespace.com/iiif/image/49509,,unreviewed,http://data.momu.be/ark:34546/m63xtm_mwdcg
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0005,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0005.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=4&xywh=-1391%2C0%2C10494%2C4670,5,"13 sber 1728
onst & ret aon fere
mes
jour responce a celle quil vous a pleust de meseure le 10. comt
j'ay l'honneur de vous dire, quil ie ne vois pas jusqua present
jour quoy la leg. de swijndrecht de vvois estre prise p rapert
me le choie vous est donne p vre conctrat ante nceptiele, si vous
la voule , avoir pour la somme quelle at feuste a ure beaus. 
pere defeins, & alusy si vous la voulez avoir sur ce pred il ne sera
pas necessatre de sa faire priser ce pour quoy ie vous prie de 
touloir vous expliggent plus positivement sur cela, & En cas que 
vous trouveriez a propos de laisser la ditte tiy. en connen
jameroit m'euxqu on resoudrois a la vente di celle desd moins 
si vous le trouve  propos. & pour ce qui regarde de faire des comptes
& estat du biens ie crois que vous est bien informe, que moy & mon
espouze ne sont plus oblige d'estoz vendant de lan maison 
mort ueure de feu nre beau pere que vous & mad: vre espouze
ettant tout deux heritieres egeaux & p consequent, il ny a 
aucune raison pour que ie me chargeray seul di la maison 
mortuaire, & de ladmisustration dualle mais si vous voulez
qu'on proce de a la confexion de l'inventaire & l'estat des
biens de la ditte maison mrtuaire ie vous prie du donner
vos ordres & conttituer a cettefin selle personnx que vous je gerez
capable pour fait faire avec moy le dit inventaire cest at
asant lhonneur de vous assurer que ie ne me resondray
jamais pour este seul be vendant de la ditte maison nortidian 
aroste
& quainsy ie ne favez faire au quine vente, m d  ie s epone vous ie
my de tous les autres meubles sans que vous y soyer present ou que
mns
ayez conttitue, quelquen, pour faire faire la ditte vente consonte
avec moy, & somme il convient quon fasse suppler les livres sans quoy
on ne peut faire un estat escuit vols aurez la bonte de me marquer 
presondie avec quoy, d'employer un certan van suck, homme fort
f
capable, qui efait les affaires du pour faire de dit transport  
tirer, aprez la bilance, cependant en pourroit faire provisionelement
un partage des biens immeubles, & comme jay eu l'honneur de vous
aute, quil convient d'autoriser quelqua
marquer p ma pres
d
pour recevoir les dattes acttoet de la ditte maisie mostwaire",,75864,,,,,3495,3989,2340,189,4,https://museumstichting.resourcespace.com/iiif/image/49510,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mrn99
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0006,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0006.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=5&xywh=-1391%2C0%2C10494%2C4670,6,"sans que vous my avez respondue ie vous prie de donner ve
resolution len dessus, estant prest de mon cette de donnerlen
ditte procure & dan hasselmans, ou si vous voulez faire receoir
vre moitie p vous mesme, ou quelque autre ie receverez la 
mienne, sur tout quoy j'attendray au premier une responce psitiv d
mesin sur ce que ie vous ay escrit p ma precadente touchant 
 la demande de deux pistoles quon n fait de largentene
qui a servie ce l'astre pendant les messes de requienme de sen
re beau Pere 1
ayant renvoye ujourdhuy en suita dvre lettren la coour
2
16
noir au payement ordenaire, & suis pourra coursir ma lettre
avec les sompliments ordinaire 
My
 menry Aadche
personelijck
finformeren oft dat de Raedtheeren, mogen betrocken
worden t antwerpen oft wel dat men de selve moet betrecke
voor hunnen competenten Rechter
 hed medame",,75864,,,,,4764,2016,691,260,5,https://museumstichting.resourcespace.com/iiif/image/49511,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mmw74
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0007,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0007.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=6&xywh=-1391%2C0%2C10494%2C4670,7,"Persame & Voorsinnighe Bullin Borgemeester & schepenen
21 comen
s00 door het overleyden van hendrick verdoenck, gewesene schepene
dan mijn heerijckeljet van swijldreck
bevinde smijne wet niet compteet te wesen, soo ist dat ick in
mlt
voot schepenen
a11
sijne plaetse ben stellende den persoon Jan Jans. iegelaer ul
ordonnerende den selven daer vooren te kennen, mits doende den
ordinairens Pedt & blijven",,75864,,,,,3811,2059,875,150,6,https://museumstichting.resourcespace.com/iiif/image/49512,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_mh44z
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0008,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0008.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=7&xywh=-1391%2C0%2C10494%2C4670,8,ƒ9ƒ 192,,75864,,,,,3423,4195,424,247,7,https://museumstichting.resourcespace.com/iiif/image/49513,,unreviewed,http://data.momu.be/ark:34546/m63xtm_mcc2s
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0009,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0009.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=8&xywh=-1391%2C0%2C10494%2C4670,9,A,,75864,,,,,5828,189,104,118,8,https://museumstichting.resourcespace.com/iiif/image/49514,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_m7pvv
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0010,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0010.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=9&xywh=-1391%2C0%2C10494%2C4670,10,"au borgemettre & eschevains de swijndrecht, pour la priserie de la ditte £1p
ils out prix toutes les tervis en presence de mons: Schochaert mais point le reste,
ils disent que cela le doit faire celon les revenues, sur quoy mons: Schochaert et
moenssens sont vanu icy, pour faire la preditte memoire, sur quoy nous de vous
regler le prixe, vous priant de lexaminer, pour que nous puessions faire une
partage a vre premier voyage, mons: desjaunaux le president ma remis pour
comte de la maison mortuaire, pour un anne dinterest de la rente, eschie 
le p gbre passe ƒ840:- argent courant. le teneur de livres qui m'avez 
donne la parelle pour adutter les livres de feu nre beau pere n'a point
senvie de le faire presentement & ie ne leaurois avoir d'autres, p raport
de leurs grands occupations quils ont ce qui me chagrine beaucoup s fait 
quil ny en a rien avance. mon espouze vous fait bien des compliments
 a madame vre comp. & mons. vre frere, permette que sy joigne aussij
les miens, & suis en attendant le plaisir de vous voire icy",,75864,,,,,709,1445,1902,177,9,https://museumstichting.resourcespace.com/iiif/image/49515,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_m3xsp
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0012,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0012.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=11&xywh=-1391%2C0%2C10494%2C4670,12,"de ne gotier a vre plus grande avant age dont ie vous donneray avis, en son tems
J'ay parle a mons. michel au voay qui est prese pour vous transporter le ƒ ƒ6000:-
de change quil at dans la rente de mons: desjaunaux mais comme il dit que le 
transport quil pourroit faire icy, ne seroit point, peut estre a vre gray, il vous
prie de m'envoyer un formulaire, ou project, fait p un de vos nolaires de lille
quil le passera icy, pu vous donner une satisfaction entiere ce quil vous
plaira de faire au p lustolt car si longtems, que le transport n'est pas fait
linterest coure a son profit la rente eschue le premier novembre & mons.
desjaunaux a payez l'interest jusqu au premier novembre 1728 passe
ie vous suis dire chez tres oblige de vos offres obligeantes & soyez persuade
ma chere tante, que dien ne m'est plus agreable, que de vous pouvoir rendre
mes services, vous priant de ne point esparquer celuy qui le dit en tous
occasions estant lies sincerement 
mon espouz a vous fait & a vre chere famile bien de compliments, & vous este
bien oblige de vre cher souvenir
PP. J'ay negotiez vre remise de £400:- sur bruges a   de vre perte, dont ie vous",,75864,,,,,627,1686,2570,173,11,https://museumstichting.resourcespace.com/iiif/image/49517,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_m05qh
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0013,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0013.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=12&xywh=-1391%2C0%2C10494%2C4670,13,"sera fait en argent courant pour sept mil florins, ce qui fait en argent 
de change ƒ6000:- ainsj vous satisferrez les ƒ7000:- argent jours
avec ƒ 6006:- argent de change, ie nee doute pas ma chere tante ou vous
este atteur asse bien informe de toute, la rente n'est plus en son entier
presentement que pour ƒ28000:- argent courant c'escu a 56 pattars
pont mons: de wyndrecht est proprietere pour ƒ21000:- argent courant
& les ƒ7000:- restants, vous seront transporte p mons. michel auvra
qui cles possede presentement vous priant de m'envojer vre modelle de
contract a fin de le faire passer icy p le dit si ouvray, & j'auray soin
que tout sera en bonne forme. vous ne me faite pas meintion de ma
lettre que ie me suis donne l'honneur de vous escrire le 22 courant
p la quelle ie vous ay marque que j'avois negotie vos remises
sur amstodam a 2  de vre avance esperant pourtant que
vous sera rendue & que vous auraiy anotte le tout de conformite 
mon espouze vous fait bien des compliments de mesme a vre
chere famile, estant toujours avec offres demes services en tre
occasions",,75864,,,,,780,1849,376,160,12,https://museumstichting.resourcespace.com/iiif/image/49518,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mvdp2
